SKU,Encontrado,Stock,Stock China,Stock Futuro
PSGSB522202-BLK,SI,0,0,0
PSGSB522201-NVY,SI,0,0,0
MLBCT622211-BLK,SI,0,0,0
MLBCT622211-WHT1,SI,0,0,0
MLBCT622211-GRY,SI,0,0,0
MLBCT622211-WHT,SI,0,0,0
MLBTS622210-LHB1,SI,0,0,0
MLBTS622210-NVY,SI,0,0,0
LCPTS622201-BLK,NO,0,0,0
DFLTS522203-BLK,NO,0,0,0
RMSB522208-BLU,SI,3,0,0
RMSB522207-BLU,SI,0,0,0
RMSB522204-NVY,SI,3,0,0
RMSB522204-WHT,SI,0,0,0
MLBSH622201-LHB,SI,0,0,0
MLBSH622201-RED,SI,0,0,0
MLBSH622201-AQA,SI,0,0,0
MLBSH622201-BLU,SI,0,0,0
MLBSH622201-BLK,SI,0,0,0
MLBPT622202-GRY,SI,0,0,0
MLBPT622202-NVY,SI,0,0,0
MLBPT622202-BLK,SI,0,0,0
MLBPT622201-NVY,SI,0,0,0
MLBPT622201-BLK,SI,0,0,0
MLBHD622212-BLU,SI,0,0,0
MLBTT622211-RED,SI,0,0,0
MLBTT622211-WHT,SI,0,0,0
MLBTT622211-NVY,SI,0,0,0
MLBTS622211-GRY,SI,0,0,0
MLBTS622211-PNK,SI,0,0,0
MLBTS622211-WHT,SI,0,0,0
NBATS622212-BLK,SI,0,0,0
MLBPT622201-GRY,SI,0,0,0
MLBTS622210-WHT,SI,0,0,0
MLBPT622210-NVY,SI,0,0,0
MLBSBR622210-NVY,SI,0,0,0
NBACJK622202-BLK,SI,0,0,0
NBATS622201-BLK,SI,0,0,0
NBASH622202-RED,SI,0,0,0
NBASH622202-PUR,SI,0,0,0
NBASH622202-BLK1,SI,0,0,0
LLTS522202-BLK,SI,0,0,0
NBATS622202-YLW,SI,0,0,0
NBATS622212-BLK1,SI,0,0,0
STFTS522201-BLK,SI,0,0,0
KISTS622203-BLK,SI,0,0,0
KISTS622202-BLK,NO,0,0,0
KISTS622201-BLK,NO,0,0,0
KISCT622202-WHT,NO,0,0,0
KISCT622201-BLK,NO,0,0,0
KISTS522204-BLK,NO,0,0,0
NBATS622228-PUR,SI,0,0,0
NBAHD622201-BLK,SI,0,0,0
NBACT622201-RED,SI,0,0,0
NBACT622201-PUR,SI,0,0,0
NBACT622201-BLK1,SI,0,0,0
NBACT622201-BLK,SI,0,0,0
NBACJK622202-RED,SI,0,0,0
MLBPT522203-NVY1,SI,0,0,0
ACCT622201-BLK,NO,0,0,0
CNCT622202-LBL,NO,0,0,0
CNCT622201-WHT,NO,0,0,0
CCTS522203-BUR,NO,0,0,0
STFTS522204-GRN,SI,0,0,0
STFTS522203-BLK,SI,0,0,0
STFTS522202-BLK,SI,0,0,0
STFTS522202-GRN,SI,2,0,0
MLBSW522202-WHT,SI,0,0,0
MLBSW522202-NVY,SI,0,0,0
ACTS522201-GRY,NO,0,0,0
ACTS522201-NVY,NO,0,0,0
MLBHD522204-BLU,SI,0,0,0
MLBHD522204-NVY,SI,0,0,0
MLBPT522203-BLU,SI,0,0,0
MLBJK524205-BK1,SI,0,0,0
MLBJK524205-WH1,SI,0,0,0
MLBJS524202-BL1,SI,0,0,0
MLBJS524202-RD1,SI,1,0,0
MLBJS524202-GY1,SI,0,0,0
MLBJS524202-BK1,SI,0,0,0
MLBTS524215-GY1,SI,0,0,0
MLBTS524215-BK1,SI,0,0,0
NBATS324206-YL1,SI,6,0,0
NBATS324206-BK1,SI,1,0,0
MLBSH524204-BG1,SI,0,0,0
MLBSH524204-GN1,SI,0,0,0
MLBSH524204-NV1,SI,0,0,0
MLBPT524204-BG1,SI,0,0,0
MLBPT524204-GN1,SI,0,0,0
MLBPT524204-NV1,SI,0,0,0
MLBPT524204-BK1,SI,0,0,0
MLBSW524201-NV2,SI,2,0,0
MLBSW524201-NV1,SI,0,0,0
MLBTS524210-NV2,SI,1,0,0
MLBSW524201-OW1,SI,1,0,0
MLBTS524210-NV1,SI,0,0,0
MLBTS524209-WH2,SI,0,0,0
MLBTS524209-NV1,SI,0,0,0
MLBTS524209-BK1,SI,0,0,0
MLBTS524209-GN1,SI,0,0,0
MLBTS524209-OW1,SI,0,0,0
MLBJK524203-OW1,SI,1,0,0
MLBJK524203-NV1,SI,1,0,0
MLBHD524206-NV1,SI,1,0,0
MLBSH524206-BK1,SI,0,0,0
MLBJK524205-BK2,SI,0,0,0
NBAJS524201-BK1,SI,13,0,0
NBAJS524201-RD1,SI,1,0,0
NBAJS524201-GY1,SI,2,0,0
NBAPT524206-BK1,SI,0,0,0
NBAHD524208-BK1,SI,0,0,0
NBASH524207-BK3,SI,3,0,0
NBASH524207-RD1,SI,0,0,0
NBASH524207-BK2,SI,0,0,0
NBASH524207-BK1,SI,2,0,0
NBATT524206-WH2,SI,0,0,0
NBATT524206-BK2,SI,0,0,0
NBATT524206-RD1,SI,1,0,0
NBATT524206-BK1,SI,1,0,0
NBATS524217-WH1,SI,6,0,0
NBATS524217-BK2,SI,0,0,0
NBATS524217-GN1,SI,0,0,0
NBATS524217-BK1,SI,1,0,0
NBATS524216-WH2,SI,0,0,0
NBATS524216-WH1,SI,3,0,0
MLBTS324211-BL1,SI,4,0,0
MLBTS324211-RD1,SI,16,0,0
NBATS324206-BK4,SI,6,0,0
NBATS324206-RD1,SI,2,0,0
NBATS324206-BK2,SI,9,0,0
NBPTS524205-WH2,SI,9,0,0
NBPTS524205-RD1,SI,0,0,0
NBPTS524205-BL1,SI,11,0,0
NBASH52301-GRN,SI,0,0,0
NBPTS524205-BK1,SI,7,0,0
NBPTS524205-YL1,SI,7,0,0
NBASH524203-GY1,SI,2,0,0
NBASH524203-BK1,SI,3,0,0
NBATT524202-BK1,SI,8,0,0
NBAPT524202-BK2,SI,11,0,0
NBAPT524202-BK1,SI,17,0,0
NBAJS524202-BL1,SI,10,0,0
NBAJS524202-GN1,SI,8,0,0
NBAJS524202-GY1,SI,0,0,0
NBAJS524202-BK1,SI,0,0,0
NBAHD524202-BK2,SI,15,0,0
NBAHD524202-BK1,SI,13,0,0
NBAJS524201-NV1,SI,16,0,0
NBATS524211-YL1,SI,1,0,0
NBATS524211-BK1,SI,1,0,0
NBATS524211-BU1,SI,1,0,0
30585U-090A,NO,11,0,0
30682U-090A,NO,11,0,0
MLBJS324201-NV2,SI,17,0,0
MLBJS324201-WH1,SI,1,0,0
NBASH324202-PR1,SI,6,0,0
NBASH324202-BK1,SI,3,0,0
NBATT324201-BK1,SI,0,0,0
NBATT324201-PR1,SI,0,0,0
NBATS324204-WH3,SI,4,0,0
NBATS324203-RD1,SI,1,0,0
NBATS324203-BK3,SI,1,0,0
NBATS324203-PR1,SI,1,0,0
NBATS324203-BK2,SI,1,3,0
NBATS324203-BU1,SI,2,1,0
NBATS324203-BK1,SI,1,0,0
MLBJS324201-BK1,SI,20,0,0
MUNPL324201-RD1,NO,0,0,0
MUNPL324201-BK1,NO,0,0,0
NBAJK524201-BK1,SI,1,0,0
NBAJK524201-WH1,SI,2,0,0
NBATS524212-WH2,SI,1,0,0
NBATS524212-BK2,SI,0,0,0
NBATS524212-BK1,SI,0,0,0
NBATS524212-WH1,SI,0,0,0
NBATS524211-BK2,SI,1,0,0
NBATS524211-WH2,SI,0,0,0
NBATS524211-RD1,SI,1,0,0
NBATS524211-WH1,SI,0,0,0
ROCTS522202-BLK,NO,0,0,0
MLBTS622210-LHB,SI,0,0,0
MUNJS324201-RD1,NO,0,0,0
MUNSH524207-BK1,NO,0,0,0
MUNWR324201-BK1,NO,0,0,0
MLBTS622201-BLK,SI,0,0,0
MLBTS622201-WHT,SI,0,0,0
MLBTS524111-BL1COP,NO,0,0,0
MLBTS622201-BLU,SI,0,0,0
MLBTS622201-WHT1,SI,0,0,0
35248U-090A,NO,10,0,0
NBABN523113-RED1COP,NO,0,0,0
MLBTS52033-BLKCOP2,NO,0,0,0
HP8500-BCEBLCK,SI,0,0,0
HP8500-CBUBLCK,SI,0,0,0
HP8500-LALBLCK,SI,0,0,0
HP8500-MHEBLCK,SI,0,0,0
HS8507-BNEBLCK,SI,0,0,0
HS8507-CBUBLCK,SI,0,0,0
MLBTS524108-BK1COP,NO,0,0,0
MLBTS52002-WHTCOP,NO,0,0,0
OLIPJ324205-WH2,SI,12,0,0
CCTS522204-RED,NO,0,0,0
CPCUTSW23-GRAF,NO,0,0,0
MLBTS522204-BLU-COP,NO,0,0,0
NBATS523106-BLK-COP,NO,0,0,0
EIPTS6231001-WHT,NO,0,0,0
NBATS520400-WHT-COP,NO,0,0,0
MLBJS522202-BLK,SI,0,0,0
CPBIGLOGOW23-RED,NO,0,0,0
RMDJS500010-WH1,SI,0,0,19
BCNTS500013-BU1,SI,0,0,23
RMDTS500013-NV2,SI,0,0,33
RMDPL500002-WH1,SI,0,0,3
BCNPT300005-NV1,SI,0,12,2
RMDCA700008-NV3,NO,0,0,6
MLBTS522201-BLK,SI,0,0,0
RMPL522201-NVY,SI,0,0,0
RMSH522201-WHT,SI,0,0,0
FITS522277-BLU,NO,0,0,0
FITS522277-RED,NO,0,0,0
FITS622276-RED,NO,0,0,0
FITS622276-YEL,NO,0,0,0
FITS622276-BLK,NO,0,0,0
FITS622276-NVY2,NO,0,0,0
FITS622276-NVY,NO,0,0,0
NBATS522205-RED,SI,0,13,0
NBATS522205-WHT,SI,0,0,0
BCJS522201-BLU,SI,0,0,0
BCTS522204-BLK,SI,0,0,0
FITS522277-NVY,NO,0,0,0
FITS522277-NVY2,NO,0,0,0
FITS522277-BLK,NO,0,0,0
NBALS522202-GRY,SI,0,0,0
NBASH522203-BLK3,SI,0,0,0
UMJS5171002-RED,NO,0,0,0
UMSH517153-GRY,NO,0,0,0
UMJK5171054-BLK,NO,0,0,0
BABTS522201-GRY,NO,0,0,0
BABTS522201-BLK,NO,0,0,0
MLBTS522205-NVY,SI,0,0,0
25044U-090,NO,0,0,0
25044U-096,NO,0,0,0
25045U-090,NO,0,0,0
64704U-060,NO,0,0,0
NBASB522241-BLK4,SI,3,0,0
NBASB522241-BLK2,SI,8,0,0
30611U-090,NO,0,0,0
30611U-0U3,NO,0,0,0
30612U-090,NO,0,0,0
30612U-0U3,NO,0,0,0
NBASB522231-BLK5,SI,0,0,0
NBASB522231-BLK4,SI,0,0,0
NBASB522231-BLK3,SI,0,0,0
MCPT318104-RED,NO,0,0,0
RMPL522201-BLK,SI,0,0,0
RMPL522201-WHT,SI,0,0,0
NFLTS522204-BLK1,SI,33,0,0
RMDTS324103-NV2,SI,0,0,0
BCNJK324101-NV3,SI,3,0,0
RMDJK324101-NV2,SI,1,0,0
RMDJS324102-WH2,SI,0,0,0
PSGJS324102-WH1,SI,11,0,0
PSGJS324102-NV1,SI,10,0,0
RMSH318202-NVY,SI,0,0,0
NBATS324103-BK2,SI,6,0,0
NBATS324103-PR1,SI,2,1,0
NBATS324102-TQ1,SI,1,0,0
NBAST324101-BK1,SI,0,0,0
PSGST324101-NV2,SI,9,0,0
BCNWR324102-NV2,SI,5,0,0
NBATS522205-PUR,SI,0,0,0
NBATS324105-WH1,SI,1,1,0
NBATS324105-RD1,SI,0,1,0
NBATS324104-WH1,SI,10,0,0
NBASH324101-PR1,SI,14,0,0
NBASH324101-BK1,SI,6,0,0
NBAPT324101-DG1/FLE,NO,0,0,0
NBAPT324101-BK1/FLE,NO,0,0,0
NBPJS324101-PR1,SI,0,1,0
NBATS324103-WH2,SI,9,1,0
NBASB522219-BLK3,SI,0,0,0
NBALS522202-GRY2,SI,1,0,0
NBALS522202-BLK,SI,0,0,0
NBAPT522204-GRY,SI,0,0,0
NBATS522205-BLK2,SI,0,1,0
NBASB522228-RED1,SI,0,0,0
NBASB522228-PUR1,SI,0,0,0
NBASB522228-BLU,SI,0,0,0
NBASB522227-BLK5,SI,0,0,0
NBASB522227-BLK4,SI,0,0,0
NBASB522227-BLK3,SI,0,0,0
NBASB522226-BLK5,SI,0,0,0
NBASB522226-BLK4,SI,0,0,0
NBASB522226-BLK3,SI,0,0,0
NBASB522224-NVY,SI,0,0,0
NBASB522224-BLK3,SI,0,0,0
NBASB522219-BLK5,SI,0,0,0
NBASB522223-WHT,SI,0,0,0
NBASB522218-GRY2,SI,0,0,0
NBASB522218-GRY,SI,0,0,0
NBASB522216-RED,SI,0,0,0
NBASB522216-WHT,SI,0,0,0
NBASB522216-PUR,SI,0,0,0
NBASB522216-WHT2,SI,0,0,0
NBASB522212-BLK6,SI,0,0,0
NBASB522212-BLK5,SI,0,0,0
NBASB522212-BLK4,SI,0,0,0
NBASB522212-BLK3,SI,0,0,0
NBASB522215-BLK6,SI,0,0,0
NBASB522215-BLK5,SI,0,0,0
NBASB522215-BLK4,SI,0,0,0
NBASB522215-BLK3,SI,0,0,0
NBASB522211-RED1,SI,1,0,0
NBASB522211-PUR2,SI,0,0,0
NBASB522211-BUR,SI,0,0,0
NBASB522208-PUR2,SI,0,0,0
NBASB522208-NVY1,SI,0,0,0
NBASB522208-NVY,SI,0,0,0
BCSH323104-NVY,SI,23,0,0
BCSH323103-NVY,SI,10,0,0
BCSH323101-NVY,SI,1,0,0
NBASB522206-GRY,SI,0,0,0
RMDSH324102-NV2,SI,0,0,0
PSGSH324102-NV1,SI,5,0,0
RMDPT324102-NV2,SI,0,0,0
BCNPT324102-NV3,SI,5,0,0
BCNWR524102-NV2,SI,0,0,0
PSGTS524103-GY1,SI,0,0,0
CAAJS324105-NV1,SI,0,0,0
CAATS324108-WH1,SI,0,0,0
CAASH324103-NV1,SI,0,0,0
CAAJS324104-YL1,SI,0,0,0
NBACA324101-NV3,SI,0,0,0
BCSH323103-BLK,SI,20,0,0
BCPT323102-NVY,SI,0,0,0
MLBHD523103-NVY1,SI,0,0,0
MLBHD523103-BLU,SI,0,0,0
BCTS323109-BUR,SI,0,0,0
BCTS323109-NVY,SI,0,0,34
BCTS323108-BUR,SI,0,0,0
BCTS323108-NVY,SI,1,0,0
BCTS323106-NVY,SI,0,0,0
BCTS323105-NVY,SI,0,0,0
BCTS323105-BLK,SI,0,0,0
BCTS323102-NVY,SI,0,0,0
BCJS323106-NVY,SI,0,0,0
BCJS323105-RED,SI,0,0,0
BCJS323101-RED,SI,0,0,0
BCCA323106-NVY,SI,0,0,0
BCCA323106-DGRY,SI,0,0,0
BCCA323105-BLK,SI,0,0,0
BCCA323105-NVY,SI,0,0,0
BCCA323102-NVY,SI,0,0,0
PSGMB523101-NVY,SI,53,0,0
PSGBK523103-NVY,SI,7,0,0
NBABK523102-BLK,SI,1,0,54
NBABK523102-BLK2,SI,19,0,0
NBADB523102-BLK,SI,0,0,0
NBPTT525103-PR1,SI,0,0,19
NBPJS525102-WH1,SI,0,0,0
NBPJS525102-BL1,SI,0,0,10
AFPTS525119-LB1,SI,0,0,2
AFPJS525216-LB1,SI,0,0,12
AFPJS525217-LB1,SI,0,0,14
AFPTS525227-BL1,SI,0,0,12
AFPTS525227-BL2,SI,0,0,12
NBPTS500002-LB1,SI,0,0,3
NBATS325105-WH2,SI,0,5,2
NBATS325106-BL1,SI,0,0,21
NBASW523109-RED,SI,0,0,0
NBASW523109-BLK1,SI,0,0,0
NBASW523109-BLK,SI,0,0,0
NBAJP523109-RED,SI,0,1,0
BCJS322203-NVY,SI,0,0,0
BCTS322204-BLK,SI,0,0,0
NBACA500011-BL2,SI,0,0,0
NBACA500011-RD1,SI,0,0,0
NBATS32224-YEL,NO,0,0,0
NBAHD521001-YEL2,SI,5,0,0
NBASW523101-LHB,SI,0,0,0
BCNTS724103-BU1,SI,0,0,0
RMDTS724103-NV2,SI,0,0,0
BCNJK724101-NV3,SI,3,0,0
CAABX324101-GY1,SI,0,0,0
FLOTS624105-WH1,SI,0,0,0
HARTS624106-WH1,NO,0,0,0
UCLTS624105-WH1,NO,0,0,0
CAABX324101-NV1,SI,0,0,0
CAASL524106-NV1,SI,0,0,0
CAASL524105-NV1,SI,0,0,0
MLBHD523114-BLK,SI,0,0,0
PSGJS523106-NVY,SI,2,0,0
NBASW523110-BLK2,SI,0,0,0
NBASW523110-NVY,SI,0,0,0
NBASW523110-BLK1,SI,0,0,0
PSGSW323101-GRY,SI,0,0,0
MLBTS523113-WHT2,SI,0,0,0
NBASW523110-BLK,SI,0,0,0
MLBJP323120-BLK,SI,0,0,0
NBAHD523101-PUR,SI,0,0,0
NBAHD523101-BLK,SI,0,0,0
NBAHD523101-BLK1,SI,0,0,0
BCCA523106-GRY,SI,0,0,0
BCCA523101-NVY,SI,0,0,0
NBASO524101-WH2,SI,0,0,0
NBASO524101-GY1,SI,0,0,0
NBASO524101-BL1,SI,0,0,0
NBASO524101-BK1,SI,0,0,0
NBASO524101-WH1,SI,0,0,0
PSGSL524101-NV2,SI,0,0,0
NBACA500013-BL1,SI,0,0,0
BCNSL524101-NV1,SI,0,0,0
NBAJS552201-BUR,SI,0,0,0
MLBBK523202-NV1,SI,0,0,0
MLBBK523202-BK1,SI,0,0,0
MLBLG523202-BK1,SI,0,0,0
MLBSO524101-TQ1,SI,0,0,0
MLBSO524101-GY1,SI,0,0,0
NBATS521000-GRY2,SI,0,0,0
NBABN523116-GRY,SI,0,0,0
RMCA523107-NVY,SI,0,0,0
NBABN523109-BLK5,SI,0,0,0
NBABN523109-BLK2,SI,0,0,0
NBABN523109-BLK3,SI,0,0,0
NBABN523109-BLK4,SI,0,0,0
NBABN523109-BLK1,SI,0,0,0
NBABN523108-PUR,SI,0,0,0
NBABN523108-RED,SI,0,0,0
NBACA523104-BLU,SI,0,0,0
NBACA523104-PUR,SI,0,0,0
NBACA523102-BLK2,SI,0,0,0
NBACA523102-BLK4,SI,1,0,0
NBACA523101-BLU,SI,0,0,0
NBACA523101-GRN,SI,0,0,0
NBABN523116-RED,SI,0,0,0
NBABN523112-BLK3,SI,0,0,0
NBABN523112-BLK1,SI,0,0,0
NBABN523112-BLK2,SI,0,0,0
NBABN523112-BLK,SI,0,0,0
NBABN523101-PUR,SI,0,0,0
NBABN523101-RED,SI,0,0,0
NBABN523101-BLU,SI,0,0,0
NBABN523108-BUR,SI,0,0,0
NBABN523108-GRY,SI,0,0,0
NBABN523108-BLK2,SI,0,0,0
NBABN523108-BLK,SI,0,0,0
NBABN523108-BLK1,SI,0,0,0
NBABN523103-BLK2,SI,0,0,0
NBABN523103-BLK,SI,0,0,0
NBABN523103-BLK1,SI,0,0,0
NBACA523123-BLU1,SI,0,0,0
NBACA523110-BLK4,SI,3,0,0
HHSS4538-ORAYYPPPBLCK,SI,0,0,0
6HSSMM19224-CBUBKGY,SI,0,0,0
6HSSMM19226-CBUWHBK,SI,0,0,0
MSPCA524201-BK1,SI,0,0,6
MSPCA524201-PK1,SI,0,0,3
NBACA523110-BLK,SI,2,0,0
NBACA523110-BLK1,SI,0,0,0
NBACA523151-BLK3,SI,6,0,0
NBACA523151-BLK,SI,6,0,0
NBACA523151-BLK1,SI,5,0,0
NBACA523109-BLK2,SI,0,0,0
NBACA523135-PUR,SI,0,0,0
NBACA523149-BLK1,SI,0,0,0
NBACA523148-BLK1,SI,0,0,0
NBACA523147-BLK3,SI,0,0,0
NBACA523132-BLK2,SI,3,0,0
NBACA523135-BUR,SI,0,0,0
NBACA523134-BLK5,SI,2,0,0
NBACA523134-BLK2,SI,0,0,0
NBACA523134-BLK3,SI,1,0,0
NBACA523134-BLK4,SI,0,0,0
NBACA523134-BLK1,SI,0,0,0
NBACA523132-PUR,SI,0,0,0
NBATS523125-BLK1,SI,0,0,0
NBATS523125-BLK2,SI,0,0,0
NBACA523131-BLK2,SI,2,0,0
NBACA523130-RED,SI,1,0,0
NBACA523130-BUR,SI,2,0,0
NBACA523130-GRY,SI,0,0,0
NBACA523130-PUR,SI,0,0,0
NBACA523130-BLK4,SI,0,0,0
NBACA523130-BLU,SI,0,0,0
NBATS523116-WHT,SI,0,0,0
PSGPT523101-GRY,SI,0,0,0
NBATS523124-BLK2,SI,0,0,0
NBATS523122-YEL,SI,0,0,0
NBATS523122-RED,SI,0,0,0
NBATS523122-BLK1,SI,0,0,0
NBATS523122-BLK,SI,0,0,0
NBACA523170-GRY2,SI,0,0,0
NBACA523170-GRY3,SI,0,0,0
NBACA523170-GRY,SI,0,0,0
NBACA523170-GRY1,SI,2,0,0
NBACA523169-PUR,SI,2,0,0
NBACA523169-RED,SI,1,0,0
NBACA523169-GRN,SI,0,0,0
NBACA523169-GRY,SI,0,0,0
NBACA523169-NVY,SI,1,0,0
NBACA523156-BUR,SI,0,0,0
NBAHD521001-GRN,SI,0,0,0
CAASL324106-NV1,SI,0,0,0
PUMST324101-NV1,SI,0,0,0
PUMTS324101-BK1,SI,0,0,0
CAASO524103-NV1,SI,0,0,0
CAASO524101-BK1,SI,0,0,0
NBASW523101-GRY,SI,0,0,0
BCNHD724102-NV3,SI,0,0,0
RMDHD724102-NV2,SI,0,0,0
RMDWR724102-BL1,SI,11,0,0
NBACA523169-BLU,SI,0,0,0
NBASW523101-BLK1,SI,0,0,0
NBACA523156-PUR,SI,0,0,0
NBACA523156-RED,SI,0,0,0
NBAJP523108-BLK4,SI,0,0,0
NBAJP523106-BLK2,SI,0,0,0
NBAJP523105-NVY,SI,0,0,0
NBAJP523105-BLK2,SI,0,0,0
NBAJP523105-BLK,SI,0,0,0
NBAJP523105-BLK1,SI,0,0,0
PSGHD52202-BLK,SI,0,0,0
NBAHD523109-BLK2,SI,0,0,0
NBAHD523107-NVY,SI,0,0,0
NBAHD523107-BLK2,SI,0,0,0
NBAHD523106-BLU,SI,0,0,0
NBAHD523104-PUR,SI,0,4,0
NBAHD523104-RED,SI,0,0,0
NBAJP523101-PUR,SI,0,0,0
NBAHD523104-RED1,SI,0,6,0
PSGPT323104-BLK,SI,0,0,0
PSGCA523109-NVY,SI,0,0,0
MLBPT523102-BLK2,SI,0,0,0
MLBPT523102-NVY1,SI,0,0,0
MLBJK523102-NVY1,SI,0,0,0
MLBHD523103-BLK1,SI,0,0,0
MLBWR523101-NVY,SI,5,0,0
BCTS323109-BLK,SI,0,0,0
NBAHD523105-GRY2,SI,0,0,0
NBAHD523105-BLK,SI,0,0,0
MSPCA724201-BK1,SI,0,0,8
MSPCA724202-PK1,SI,0,0,5
6HSSMM19227-CBUBLCK,SI,0,0,2
HHSS2976-MHEYYPPPBLCK,SI,0,0,1
HHSS5132-CBUYYPPPRED1,SI,0,0,0
HHSS5133-MHEYYPPPBLCK,SI,0,0,0
HHSS5341-CBUYYPPPRED1,SI,0,0,0
NBATS523106-BLKCOP2,NO,0,0,0
HHSS5341-LALYYPPPPURP,SI,0,0,1
NBATS52115-BLKCOP2,NO,0,0,0
GUAJS323201-BK1,NO,0,0,0
6HSSMM19224-CBUWHOR,SI,0,0,0
6HSSMM19228-CBUGYHT,SI,0,0,0
HHSS3256-BCEYYPPPGREN,SI,0,0,0
6HSSMM19224-CBUWHIT,SI,0,0,0
MSPCA524202-BK1,SI,0,0,7
MSPCA524202-PK1,SI,0,0,4
MSPCA324201-BK1,SI,0,0,5
MSPCA324201-PK1,SI,0,0,2
MSPCA324202-BK1,SI,0,0,6
MSPCA324202-PK1,SI,0,0,2
HHSS3256-BNEYYPPPBLCK,SI,0,0,1
UMHM0327-090,NO,0,0,0
FASSO524202-BK1,NO,0,0,0
NBACA523149-BLK3,SI,0,0,0
NBACA523149-BLK4,SI,0,0,0
NBACA523149-BLK,SI,0,0,0
NBACA523148-BLK,SI,0,0,0
